symbol,timestamp,open,high,low,close,volume,trade_count,vwap,20_day_ma
XTZ/USD,2024-07-20 05:00:00+00:00,0.8083055,0.814685,0.7889115,0.803475,253.322852521,2.0,0.8096795937,0.766822925
XTZ/USD,2024-07-21 05:00:00+00:00,0.80315,0.8101275,0.76794,0.796715,55.173069284,9.0,0.7996228527,0.7668196
XTZ/USD,2024-07-22 05:00:00+00:00,0.796106,0.796106,0.764085,0.76813,270.0,1.0,0.780085,0.7662271
XTZ/USD,2024-07-23 05:00:00+00:00,0.76719,0.7785375,0.7430895,0.7593535,233.190652736,13.0,0.7722516631,0.7667625250000001
XTZ/USD,2024-07-29 05:00:00+00:00,0.791533,0.79742,0.74955,0.759696,1111.790709552,23.0,0.7676506543,0.782967525
AVAX/USD,2024-07-01 05:00:00+00:00,29.7365,30.0785,28.45625,28.5315,41.395671983,11.0,29.4898253324,2.06077725
AVAX/USD,2024-07-02 05:00:00+00:00,28.5045,28.9335,27.8544,27.9459,37.779549394,5.0,28.3301018866,3.4223969249999997
AVAX/USD,2024-07-03 05:00:00+00:00,27.953,28.09515,25.4105,26.0315,117.48146461,10.0,26.8154451897,4.688352825
AVAX/USD,2024-07-04 05:00:00+00:00,26.02,27.2684088475,21.84555,22.7684,164.626958573,21.0,24.5498925684,5.792114
AVAX/USD,2024-07-05 05:00:00+00:00,22.7695,25.75,22.6527,25.17,135.768457269,18.0,24.2510689512,7.01638875
AVAX/USD,2024-07-06 05:00:00+00:00,25.1791,27.6005,25.14025,26.5755,132.127743303,14.0,25.6867950869,8.3153215
AVAX/USD,2024-07-07 05:00:00+00:00,26.5798,26.8855,24.5445,25.71795,165.652857663,12.0,25.8187759661,9.5692765
AVAX/USD,2024-07-08 05:00:00+00:00,25.72015,27.20125,24.705,25.45,82.150071038,11.0,25.8200039204,10.808582300000001
AVAX/USD,2024-07-09 05:00:00+00:00,25.4253,27.41325,25.1642,27.25635,30.809504083,8.0,25.9137181022,12.1382678
AVAX/USD,2024-07-10 05:00:00+00:00,27.2866,27.4091,25.15545,25.3555,62.934300182,6.0,26.2560551486,13.371465699999998
AVAX/USD,2024-07-11 05:00:00+00:00,25.358,27.4312034735,24.8365,25.30705,4.620364057,4.0,25.5884504695,14.60289195
AVAX/USD,2024-07-12 05:00:00+00:00,25.308,26.10275,24.8572,25.65535,17.508219044,4.0,25.0215783922,15.851439249999999
AVAX/USD,2024-07-13 05:00:00+00:00,25.64015,26.35,25.5435,26.03135,34.353240961,13.0,26.0718031464,17.119944775
AVAX/USD,2024-07-14 05:00:00+00:00,26.0375,27.1305,25.6242,26.824,35.664076443,10.0,26.3253034336,18.427749350000003
AVAX/USD,2024-07-15 05:00:00+00:00,26.83115,28.1235,26.6092,27.80615,87.161664987,18.0,26.9750062755,19.784026700000002
AVAX/USD,2024-07-16 05:00:00+00:00,27.8035,29.2558,26.465,28.9005,171.908632154,47.0,27.647331447,21.195949925
AVAX/USD,2024-07-17 05:00:00+00:00,28.929,28.96555,27.2227,27.5893,19.501939533,8.0,28.0732512347,22.543016650000002
AVAX/USD,2024-07-18 05:00:00+00:00,27.615,27.9378,26.59455,27.0975,60.505577307,13.0,27.2499726987,23.8656049
AVAX/USD,2024-07-19 05:00:00+00:00,27.065,28.4745,26.64895,28.4745,24.09234717,9.0,27.364986097,25.256895
AVAX/USD,2024-07-20 05:00:00+00:00,28.47,29.435,27.8153,29.0731,8.353393326,4.0,28.2642365489,26.67807
AVAX/USD,2024-07-21 05:00:00+00:00,29.081,32.995,28.5675,32.68775,46.208054073,21.0,31.4407940445,26.8858825
AVAX/USD,2024-07-22 05:00:00+00:00,32.68835,32.70555,31.33455,31.4863,16.034924048,8.0,32.2239920723,27.0629025
AVAX/USD,2024-07-23 05:00:00+00:00,31.4899,31.5379,28.6064,28.6337,452.988451965,63.0,30.7089698994,27.1930125
AVAX/USD,2024-07-24 05:00:00+00:00,28.60855,32.309942434,27.11695,27.5599,30.746122577,25.0,28.4835684917,27.4325875
AVAX/USD,2024-07-26 05:00:00+00:00,27.91875,28.85905,27.64,28.6035,129.858898951,27.0,28.0965511695,27.6715125
AVAX/USD,2024-07-27 05:00:00+00:00,28.63,29.5305,27.375,27.375,106.413712577,14.0,27.8409944838,27.754364999999996
AVAX/USD,2024-07-29 05:00:00+00:00,28.22465,29.0085,26.7494,27.2305,633.730424512,26.0,28.7452668632,27.8913075
BAT/USD,2024-07-20 05:00:00+00:00,0.202498,0.20597,0.19791,0.200501,0.0,0.0,0.0,0.184067975
BAT/USD,2024-07-21 05:00:00+00:00,0.2005365,0.2063195,0.1945165,0.200911,121.590455293,5.0,0.2015767098,0.18458565
BAT/USD,2024-07-22 05:00:00+00:00,0.20097,0.20097,0.1940045,0.1948,1172.587648095,17.0,0.1964837901,0.18496675
BAT/USD,2024-07-23 05:00:00+00:00,0.19477,0.1971975,0.1892909425,0.19245,20092.032639855,57.0,0.1914388395,0.18552675000000002
BAT/USD,2024-07-24 05:00:00+00:00,0.192369,0.208565,0.184845,0.18673,9713.746176722,38.0,0.1901002719,0.18708075
BAT/USD,2024-07-27 05:00:00+00:00,0.193424,0.1990965,0.193095,0.195559,3822.733758853,31.0,0.1950815713,0.19047180000000002
BAT/USD,2024-07-28 05:00:00+00:00,0.195631,0.19982,0.193871,0.1975005,261.177752408,10.0,0.1966101532,0.191771075
BAT/USD,2024-07-29 05:00:00+00:00,0.19756,0.1996425,0.190504,0.194459,1310.552727177,25.0,0.1939524653,0.1924959
BAT/USD,2024-07-30 05:00:00+00:00,0.19448,0.196545,0.190175,0.1934,252.145421823,9.0,0.1937254817,0.19317265
BCH/USD,2024-07-01 05:00:00+00:00,392.2255,393.387,382.1585,387.0585,0.138488824,4.0,389.6957573261,19.509330249999998
BCH/USD,2024-07-02 05:00:00+00:00,387.39,389.35,368.4355,373.495,1.614532608,8.0,379.9986079867,38.17466025
BCH/USD,2024-07-03 05:00:00+00:00,373.0885,376.265,351.638,362.871,10.445463242,2.0,373.4450859144,56.309163775
BCH/USD,2024-07-04 05:00:00+00:00,362.8275,363.3715,296.112,305.2145,156.946946745,15.0,347.0865125977,71.56135252499999
BCH/USD,2024-07-05 05:00:00+00:00,305.24,334.649,288.45,320.585,77.428907633,11.0,309.0070898551,87.5822548
BCH/USD,2024-07-06 05:00:00+00:00,320.216,343.8,319.8885,333.3365,67.718297285,6.0,341.3371566294,104.24189005000001
BCH/USD,2024-07-07 05:00:00+00:00,333.31,334.8005,298.86,314.1,5.050393821,5.0,332.6602912884,119.93902455
BCH/USD,2024-07-08 05:00:00+00:00,314.339,338.025,309.437,336.503,96.513690599,28.0,326.4360869305,136.7561933
BCH/USD,2024-07-09 05:00:00+00:00,336.0495,344.5965,327.3,343.935,7.513852166,3.0,338.6380305115,153.944931225
BCH/USD,2024-07-10 05:00:00+00:00,344.368,346.825,334.702,340.85,80.076998539,6.0,338.7068550439,170.979216475
BCH/USD,2024-07-11 05:00:00+00:00,341.35,368.2,322.6869011375,347.0,11.955926505,7.0,351.833545326,188.320966475
BCH/USD,2024-07-12 05:00:00+00:00,346.6555,382.6,344.6645,374.567,3.191972988,10.0,365.0019217892,207.040948975
BCH/USD,2024-07-13 05:00:00+00:00,374.5,382.915,369.906,382.4045,2.642912322,3.0,375.9802970383,226.15315647499997
BCH/USD,2024-07-14 05:00:00+00:00,382.41,390.575,364.345,385.57,2.042601892,5.0,383.2224538744,245.42353872500001
BCH/USD,2024-07-15 05:00:00+00:00,385.63,405.3425,382.1895,395.05,2.972409626,8.0,392.6004404338,265.167636325
BCH/USD,2024-07-16 05:00:00+00:00,394.606,399.1665,369.65,392.255,34.608419578,9.0,385.8294895153,284.772139075
BCH/USD,2024-07-17 05:00:00+00:00,392.328,393.215,371.45,379.31,6.57028912,4.0,376.1224912772,303.72954625
BCH/USD,2024-07-18 05:00:00+00:00,379.209,386.4,342.9130388575,377.849,1.093335005,5.0,375.49087151,322.613849
BCH/USD,2024-07-19 05:00:00+00:00,377.465,400.335,369.737,390.9615,6.15767466,5.0,383.8547419462,342.15385725
BCH/USD,2024-07-20 05:00:00+00:00,391.0,399.1,387.2105,394.265,0.050677707,3.0,393.4765635213,361.85902500000003
BCH/USD,2024-07-21 05:00:00+00:00,394.1165,404.54,378.4595,400.019,10.18100151,12.0,390.1636750287,362.50705000000005
